sequence,id,status,latencyMs,outputTokens,candidate,rssBytes,systemUsedPercent,mpsDriverAllocatedBytes
19,greeting-02,ok,786.178,15,Xin chúc mọi người có một ngày tốt lành.,395444224,79.3,4356980736
20,meeting-01,ok,1173.714,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",397246464,81.4,4356980736
21,meeting-02,ok,995.328,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,398753792,80.0,4356980736
22,meeting-03,ok,1674.451,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,401899520,79.4,4356980736
23,meeting-04,ok,970.299,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",403456000,79.4,4356980736
24,greeting-01,ok,373.123,7,Chào buổi sáng.,403980288,79.3,4356980736
25,greeting-02,ok,684.531,15,Xin chúc mọi người có một ngày tốt lành.,405127168,79.3,4356980736
26,meeting-01,ok,1068.846,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",406831104,79.5,4356980736
27,meeting-02,ok,981.429,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,408387584,79.4,4356980736
28,meeting-03,ok,1662.493,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,411090944,79.3,4356980736
29,meeting-04,ok,954.058,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",412680192,79.4,4356980736
30,greeting-01,ok,357.782,7,Chào buổi sáng.,413171712,79.3,4356980736
31,greeting-02,ok,738.864,15,Xin chúc mọi người có một ngày tốt lành.,414384128,79.4,4356980736
32,meeting-01,ok,1040.803,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",416038912,79.4,4356980736
33,meeting-02,ok,975.53,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,417628160,79.5,4356980736
34,meeting-03,ok,1640.102,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,420364288,79.5,4356980736
35,meeting-04,ok,965.345,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",421888000,79.8,4356980736
36,greeting-01,ok,388.215,7,Chào buổi sáng.,422445056,79.6,4356980736
37,greeting-02,ok,744.013,15,Xin chúc mọi người có một ngày tốt lành.,423608320,79.5,4356980736
38,meeting-01,ok,1040.545,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",425279488,79.6,4356980736
39,meeting-02,ok,957.378,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,426835968,79.7,4356980736
40,meeting-03,ok,1659.849,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,429555712,79.7,4356980736
41,meeting-04,ok,960.585,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",431144960,79.7,4356980736
42,greeting-01,ok,399.911,7,Chào buổi sáng.,431652864,79.9,4356980736
43,greeting-02,ok,836.67,15,Xin chúc mọi người có một ngày tốt lành.,432848896,79.7,4356980736
44,meeting-01,ok,1107.476,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",434552832,79.7,4356980736
45,meeting-02,ok,1070.953,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,436076544,79.8,4356980736
46,meeting-03,ok,1734.157,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,438779904,79.8,4356980736
47,meeting-04,ok,1081.489,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",440369152,79.9,4356980736
48,greeting-01,ok,394.403,7,Chào buổi sáng.,440860672,79.8,4356980736
49,greeting-02,ok,823.617,15,Xin chúc mọi người có một ngày tốt lành.,442056704,79.8,4356980736
50,meeting-01,ok,1049.055,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",443744256,79.8,4356980736
51,meeting-02,ok,962.526,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,445317120,79.7,4356980736
52,meeting-03,ok,1849.396,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,448036864,79.7,4356980736
53,meeting-04,ok,1040.335,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",449626112,79.8,4356980736
54,greeting-01,ok,400.929,7,Chào buổi sáng.,450134016,79.8,4356980736
55,greeting-02,ok,762.15,15,Xin chúc mọi người có một ngày tốt lành.,451280896,79.8,4356980736
56,meeting-01,ok,1174.59,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",452968448,80.1,4356980736
57,meeting-02,ok,1099.435,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,454508544,80.0,4356980736
58,meeting-03,ok,1877.338,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,457244672,79.8,4356980736
59,meeting-04,ok,986.817,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",458801152,79.8,4356980736
60,greeting-01,ok,350.849,7,Chào buổi sáng.,459341824,79.6,4356980736
61,greeting-02,ok,741.073,15,Xin chúc mọi người có một ngày tốt lành.,460488704,79.9,4356980736
62,meeting-01,ok,1090.635,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",462225408,79.8,4356980736
63,meeting-02,ok,986.174,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,463749120,79.5,4356980736
64,meeting-03,ok,1659.598,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,466485248,79.6,4356980736
65,meeting-04,ok,952.472,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",468074496,79.3,4356980736
66,greeting-01,ok,402.697,7,Chào buổi sáng.,468598784,79.4,4356980736
67,greeting-02,ok,808.039,15,Xin chúc mọi người có một ngày tốt lành.,469745664,79.3,4356980736
68,meeting-01,ok,1086.663,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",471449600,79.2,4356980736
69,meeting-02,ok,985.948,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,473006080,79.2,4356980736
70,meeting-03,ok,1824.269,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,475709440,79.3,4356980736
71,meeting-04,ok,992.656,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",476839936,79.5,4356980736
72,greeting-01,ok,467.294,7,Chào buổi sáng.,477577216,79.4,4356980736
73,greeting-02,ok,812.403,15,Xin chúc mọi người có một ngày tốt lành.,478789632,79.3,4356980736
74,meeting-01,ok,1055.593,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",480493568,79.5,4356980736
75,meeting-02,ok,983.896,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,482033664,79.3,4356980736
76,meeting-03,ok,1662.128,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,484851712,79.4,4356980736
77,meeting-04,ok,985.827,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",486408192,79.4,4356980736
78,greeting-01,ok,369.099,7,Chào buổi sáng.,486899712,79.3,4356980736
79,greeting-02,ok,704.062,15,Xin chúc mọi người có một ngày tốt lành.,488046592,79.4,4356980736
80,meeting-01,ok,1112.717,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",489766912,79.3,4356980736
81,meeting-02,ok,970.139,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,491307008,79.5,4356980736
82,meeting-03,ok,1821.734,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,493748224,79.5,4356980736
83,meeting-04,ok,1097.79,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",495419392,79.5,4356980736
84,greeting-01,ok,355.006,7,Chào buổi sáng.,496091136,79.6,4356980736
85,greeting-02,ok,784.149,15,Xin chúc mọi người có một ngày tốt lành.,497303552,80.1,4356980736
86,meeting-01,ok,1099.493,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",499023872,79.8,4356980736
87,meeting-02,ok,955.281,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,500514816,79.6,4356980736
88,meeting-03,ok,1672.351,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,503431168,79.4,4356980736
89,meeting-04,ok,957.81,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",504938496,79.4,4356980736
90,greeting-01,ok,391.328,7,Chào buổi sáng.,505511936,79.4,4356980736
91,greeting-02,ok,762.748,15,Xin chúc mọi người có một ngày tốt lành.,506658816,79.4,4356980736
92,meeting-01,ok,1026.126,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",508379136,79.3,4356980736
93,meeting-02,ok,968.371,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,509952000,79.5,4356980736
94,meeting-03,ok,1658.699,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,512606208,79.4,4356980736
95,meeting-04,ok,1077.552,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",514179072,79.5,4356980736
96,greeting-01,ok,352.02,7,Chào buổi sáng.,514686976,79.5,4356980736
97,greeting-02,ok,751.793,15,Xin chúc mọi người có một ngày tốt lành.,515883008,79.5,4356980736
98,meeting-01,ok,1009.457,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",517570560,79.8,4356980736
99,meeting-02,ok,994.333,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,519110656,79.6,4356980736
100,meeting-03,ok,1787.5,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,521863168,79.8,4356980736
101,meeting-04,ok,999.21,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",523370496,79.7,4356980736
102,greeting-01,ok,361.105,7,Chào buổi sáng.,523911168,79.6,4356980736
103,greeting-02,ok,784.925,15,Xin chúc mọi người có một ngày tốt lành.,525074432,79.5,4356980736
104,meeting-01,ok,1050.591,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",526761984,79.5,4356980736
105,meeting-02,ok,1057.215,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,528367616,79.5,4356980736
106,meeting-03,ok,1763.415,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,530513920,79.7,4356980736
107,meeting-04,ok,926.92,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",532168704,79.7,4356980736
108,greeting-01,ok,361.872,7,Chào buổi sáng.,532758528,79.7,4356980736
109,greeting-02,ok,715.01,15,Xin chúc mọi người có một ngày tốt lành.,533954560,79.8,4356980736
110,meeting-01,ok,1144.023,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",535576576,79.7,4356980736
111,meeting-02,ok,1004.344,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,537149440,79.6,4356980736
112,meeting-03,ok,1749.308,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,539951104,79.7,4356980736
113,meeting-04,ok,1024.782,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",541655040,79.8,4356980736
114,greeting-01,ok,361.546,7,Chào buổi sáng.,542277632,79.6,4356980736
115,greeting-02,ok,742.265,15,Xin chúc mọi người có một ngày tốt lành.,543440896,79.5,4356980736
116,meeting-01,ok,1089.55,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",545144832,79.5,4356980736
117,meeting-02,ok,985.29,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,546717696,79.5,4356980736
118,meeting-03,ok,1677.186,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,549437440,79.5,4356980736
119,meeting-04,ok,1024.492,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",551026688,79.5,4356980736
120,greeting-01,ok,322.969,7,Chào buổi sáng.,551550976,79.5,4356980736
121,greeting-02,ok,789.098,15,Xin chúc mọi người có một ngày tốt lành.,552714240,79.5,4356980736
122,meeting-01,ok,1035.366,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",554385408,79.6,4356980736
123,meeting-02,ok,969.382,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,555532288,79.5,4356980736
124,meeting-03,ok,1757.748,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,558170112,79.8,4356980736
125,meeting-04,ok,1082.321,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",559775744,79.6,4356980736
126,greeting-01,ok,354.536,7,Chào buổi sáng.,560463872,79.5,4356980736
127,greeting-02,ok,731.453,15,Xin chúc mọi người có một ngày tốt lành.,561659904,79.5,4356980736
128,meeting-01,ok,1205.378,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",563363840,79.5,4356980736
129,meeting-02,ok,1022.811,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,564903936,79.5,4356980736
130,meeting-03,ok,1757.394,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,567525376,79.6,4356980736
131,meeting-04,ok,1068.343,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",569147392,79.6,4356980736
132,greeting-01,ok,369.561,7,Chào buổi sáng.,569704448,79.6,4356980736
133,greeting-02,ok,750.918,15,Xin chúc mọi người có một ngày tốt lành.,570884096,79.8,4356980736
134,meeting-01,ok,1106.91,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",572522496,79.6,4356980736
135,meeting-02,ok,1080.256,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,574013440,79.6,4356980736
136,meeting-03,ok,1849.3,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,576798720,79.5,4356980736
137,meeting-04,ok,1090.353,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",578387968,79.6,4356980736
138,greeting-01,ok,339.882,7,Chào buổi sáng.,578895872,79.7,4356980736
139,greeting-02,ok,695.308,15,Xin chúc mọi người có một ngày tốt lành.,580042752,79.5,4356980736
140,meeting-01,ok,1051.994,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",581795840,79.6,4356980736
141,meeting-02,ok,1072.604,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,583352320,79.4,4356980736
142,meeting-03,ok,1888.01,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,586072064,79.5,4356980736
143,meeting-04,ok,1085.773,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",587579392,79.9,4356980736
144,greeting-01,ok,320.079,7,Chào buổi sáng.,588120064,78.9,4356980736
145,greeting-02,ok,769.199,15,Xin chúc mọi người có một ngày tốt lành.,589299712,78.8,4356980736
146,meeting-01,ok,2365.861,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",590970880,78.7,4356980736
147,meeting-02,ok,1014.656,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,592150528,80.5,4356980736
148,meeting-03,ok,1821.646,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,595001344,80.8,4356980736
149,meeting-04,ok,989.25,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",596770816,78.7,4356980736
150,greeting-01,ok,341.282,7,Chào buổi sáng.,597344256,78.6,4356980736
151,greeting-02,ok,737.433,15,Xin chúc mọi người có một ngày tốt lành.,598491136,78.5,4356980736
152,meeting-01,ok,1196.169,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",600195072,78.5,4356980736
153,meeting-02,ok,994.582,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,601718784,78.5,4356980736
154,meeting-03,ok,1834.367,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,604471296,78.8,4356980736
155,meeting-04,ok,1006.232,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",605978624,78.7,4356980736
156,greeting-01,ok,403.07,7,Chào buổi sáng.,606568448,79.7,4356980736
157,greeting-02,ok,794.136,15,Xin chúc mọi người có một ngày tốt lành.,607633408,79.8,4356980736
158,meeting-01,ok,1014.1,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",609320960,79.7,4356980736
159,meeting-02,ok,1097.208,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,610795520,79.7,4356980736
160,meeting-03,ok,1855.013,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,613515264,79.6,4356980736
161,meeting-04,ok,993.269,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",615170048,79.6,4356980736
162,greeting-01,ok,410.889,7,Chào buổi sáng.,616005632,79.5,4356980736
163,greeting-02,ok,809.621,15,Xin chúc mọi người có một ngày tốt lành.,617136128,79.6,4356980736
164,meeting-01,ok,1201.073,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",618807296,79.6,4356980736
165,meeting-02,ok,1059.012,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,620396544,79.6,4356980736
166,meeting-03,ok,1685.618,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,623165440,79.7,4356980736
167,meeting-04,ok,1020.396,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",624181248,79.4,4356980736
168,greeting-01,ok,370.252,7,Chào buổi sáng.,624820224,79.3,4356980736
169,greeting-02,ok,703.53,15,Xin chúc mọi người có một ngày tốt lành.,626081792,79.5,4356980736
170,meeting-01,ok,1180.768,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",627671040,79.4,4356980736
171,meeting-02,ok,1091.751,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,629227520,79.4,4356980736
172,meeting-03,ok,1818.698,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,632143872,79.3,4356980736
173,meeting-04,ok,1106.243,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",633487360,79.4,4356980736
174,greeting-01,ok,360.723,7,Chào buổi sáng.,634421248,79.3,4356980736
175,greeting-02,ok,827.515,15,Xin chúc mọi người có một ngày tốt lành.,635617280,79.3,4356980736
176,meeting-01,ok,1076.234,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",636731392,79.4,4356980736
177,meeting-02,ok,1846.438,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,249266176,81.1,4356980736
178,meeting-03,ok,1820.323,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,258752512,80.8,4356980736
179,meeting-04,ok,1109.897,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",260882432,80.9,4356980736
180,greeting-01,ok,373.774,7,Chào buổi sáng.,267419648,80.9,4356980736
181,greeting-02,ok,774.385,15,Xin chúc mọi người có một ngày tốt lành.,271745024,80.9,4356980736
182,meeting-01,ok,1573.228,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",255082496,81.7,4356980736
183,meeting-02,ok,1033.345,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,256786432,81.8,4356980736
184,meeting-03,ok,1879.728,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,259342336,82.0,4356980736
185,meeting-04,ok,1048.268,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",260980736,81.9,4356980736
186,greeting-01,ok,406.768,7,Chào buổi sáng.,261767168,81.9,4356980736
187,greeting-02,ok,853.398,15,Xin chúc mọi người có một ngày tốt lành.,262897664,81.9,4356980736
188,meeting-01,ok,1159.687,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",257245184,81.9,4356980736
189,meeting-02,ok,1065.683,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,258621440,82.1,4356980736
190,meeting-03,ok,1739.298,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,259817472,82.1,4356980736
191,meeting-04,ok,1071.321,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",261341184,82.1,4356980736
192,greeting-01,ok,382.003,7,Chào buổi sáng.,262062080,82.0,4356980736
193,greeting-02,ok,780.714,15,Xin chúc mọi người có một ngày tốt lành.,263208960,82.0,4356980736
194,meeting-01,ok,1160.111,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",264749056,82.0,4356980736
195,meeting-02,ok,1085.726,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,266272768,82.0,4356980736
196,meeting-03,ok,1893.431,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,268959744,82.0,4356980736
197,meeting-04,ok,1115.229,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",270729216,82.0,4356980736
198,greeting-01,ok,418.019,7,Chào buổi sáng.,271253504,82.0,4356980736
199,greeting-02,ok,1036.68,15,Xin chúc mọi người có một ngày tốt lành.,261570560,82.3,4356980736
200,meeting-01,ok,1675.654,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",211812352,84.1,4356980736
201,meeting-02,ok,1597.235,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,195067904,85.6,4356980736
202,meeting-03,ok,2497.685,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,184434688,88.6,4356980736
203,meeting-04,ok,1491.39,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",167034880,88.3,4356980736
204,greeting-01,ok,855.655,7,Chào buổi sáng.,146587648,86.5,4356980736
205,greeting-02,ok,935.559,15,Xin chúc mọi người có một ngày tốt lành.,168345600,85.4,4356980736
206,meeting-01,ok,1565.941,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",173572096,69.2,4356980736
207,meeting-02,ok,1108.286,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,176177152,69.9,4356980736
208,meeting-03,ok,1910.485,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,202539008,70.1,4356980736
209,meeting-04,ok,1051.962,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",208306176,70.2,4356980736
210,greeting-01,ok,409.241,7,Chào buổi sáng.,215252992,70.4,4356980736
211,greeting-02,ok,764.146,15,Xin chúc mọi người có một ngày tốt lành.,216432640,70.4,4356980736
212,meeting-01,ok,1205.413,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",218234880,70.4,4356980736
213,meeting-02,ok,1075.882,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,219840512,70.4,4356980736
